egoodsid,q30,allcomments,rank,rank7,rank14,rank30,rank60,brandtag,currentprice,allcommentschange,c1,c26,c28,c30,c34,c45,agg1,agg2,agg3,agg4,agg5,agg7,agg8,is_promo,goodsid,categoryid,ecatid,goodsname,goodsattribute,goodsstatus,updatetime,promotioninfo,crawlerdate,fenlei,is_in_stock,platform_brand_key,master_brand_key,positive_comment_num,medium_comment_num,negative_comment_num,rating_score,goods_inventory,shangpinmingcheng,agg17,agg13,agg14,agg15,agg16,Brand_CN,Brand_EN,JD_Code,agg9,agg10,agg11,agg12,feat01,featagg01,feat02,featagg02,feat03,featagg03,feat04,featagg04,feat05,featagg05,feat06,featagg06,feat07,featagg07,feat08,featagg08,featagg013,featagg023,featagg033,featagg043,featagg053,featagg063,featagg073,featagg083
1530732,222.535714,508.0,1038.0,1036.0,1484.0,1380.0,1084.0,LUX SHAMPOO/力士 洗发,23.6,False,0.0,37.0,40.0,43.0,51.0,70.0,12168,24,190422.0,449,483,1,1,1.0,96D61732BFAB6F0462F00BC25AA4D495,30010202,"1316,1386,11922",【京东超市】力士(LUX)洗发乳 菁油臻润380ml(洗发水),"{""商品名称"":""力士洗发乳"",""商品编号"":""1530732"",""商品毛重"":""450.00g"",""商品产地"":""合肥"",""功效"":""柔顺/滋养，补水/保湿"",""净含量"":""201-400ml"",""性别"":""通用"",""适用人群"":""成人"",""适合发质"":""所有发质"",""品牌"":""力士（LUX）""}",1.0,2016/09/06 13:06:30.970,限制:此价格不与套装优惠同时享受,2016-08-31,null,0,1848.0,0.0,500.0,5.0,3.0,98.0,0.0,力士洗发乳,8,1.0,1.0,0.0,1.0,力士,LUX,1530732,3.0,2.0,0.0,1.0,"""净含量"":""201-400ml""",1658.0,0,0.0,"""商品名称"":""力士洗发乳""",8,"""商品毛重"":""450.00g""",73,"""功效"":""柔顺/滋养，补水/保湿""",127.0,"""商品产地"":""合肥""",116,"""适用人群"":""成人""",2121.0,"""性别"":""通用""",6386.0,33.0,0.0,2.0,4.0,11.0,21.0,60.0,132.0
1530747,1316.392857,1326.0,238.0,252.0,388.0,565.0,438.0,LUX SHAMPOO/力士 洗发,60.39,False,0.0,176.0,179.0,185.0,201.0,244.0,12168,24,190422.0,449,483,1,1,1.0,AB06C04FE009C9354086C81F4679E5E6,30010202,"1316,1386,11922",【京东超市】力士(LUX)洗发乳 菁油臻润680ml(洗发水),"{""商品名称"":""力士洗发乳"",""商品编号"":""1530747"",""商品毛重"":""0.78kg"",""商品产地"":""合肥"",""功效"":""柔顺/滋养，补水/保湿"",""净含量"":""401ml-750ml"",""性别"":""通用"",""适用人群"":""成人"",""适合发质"":""所有发质"",""品牌"":""力士（LUX）""}",1.0,2016/09/06 13:08:00.443,满减:满199.00减100.00,2016-08-31,null,0,1848.0,0.0,1300.0,18.0,8.0,98.0,0.0,力士洗发乳,8,1.0,1.0,0.0,1.0,力士,LUX,1530747,3.0,2.0,0.0,1.0,"""净含量"":""401ml-750ml""",2583.0,0,0.0,"""商品名称"":""力士洗发乳""",8,"""商品毛重"":""0.78kg""",22,"""功效"":""柔顺/滋养，补水/保湿""",127.0,"""商品产地"":""合肥""",116,"""适用人群"":""成人""",2121.0,"""性别"":""通用""",6386.0,70.0,0.0,2.0,2.0,11.0,21.0,60.0,132.0
293853,839.214286,0.0,1297.0,1069.0,793.0,1036.0,1014.0,LUX SHAMPOO/力士 洗发,16.4,0,0.0,53.0,57.0,66.0,74.0,103.0,12168,24,190422.0,449,483,0,0,1.0,B01070114C71CC6A07910AFFB9C9851F,30010202,"1316,1386,11922",【京东超市】力士(LUX)洗发乳 新活炫亮200ml(洗发水),"{""商品名称"":""力士洗发乳"",""商品编号"":""293853"",""商品毛重"":""240.00g"",""商品产地"":""合肥"",""功效"":""柔顺/滋养，补水/保湿"",""净含量"":""200mL以下"",""性别"":""通用"",""适用人群"":""成人"",""适合发质"":""所有发质"",""品牌"":""力士（LUX）""}",1.0,2016/09/06 13:12:21.417,限制:此价格不与套装优惠同时享受,2016-08-31,null,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,力士洗发乳,8,1.0,1.0,0.0,1.0,力士,LUX,293853,3.0,2.0,0.0,1.0,"""净含量"":""200mL以下""",538.0,0,0.0,"""商品名称"":""力士洗发乳""",8,"""商品毛重"":""240.00g""",104,"""功效"":""柔顺/滋养，补水/保湿""",127.0,"""商品产地"":""合肥""",116,"""适用人群"":""成人""",2121.0,"""性别"":""通用""",6386.0,11.0,0.0,2.0,11.0,11.0,21.0,60.0,132.0
293802,3374.571429,7248.0,42.0,38.0,45.0,254.0,39.0,LUX SHAMPOO/力士 洗发,16.4,False,0.0,97.0,103.0,114.0,140.0,206.0,1257,1,9739.0,449,179,1,1,1.0,2F0D20DDAF9D80814F720C87F1D5A9D9,30010313,"1316,1386,11922",【京东超市】力士(LUX)洗发乳 水润丝滑200ml(洗发水),"{""商品名称"":""力士洗发乳"",""商品编号"":""293802"",""商品毛重"":""240.00g"",""商品产地"":""合肥"",""功效"":""柔顺/滋养，补水/保湿"",""净含量"":""200mL以下"",""性别"":""通用"",""适用人群"":""成人"",""适合发质"":""所有发质"",""品牌"":""力士（LUX）""}",1.0,2016/09/06 13:24:58.353,限制:此价格不与套装优惠同时享受,2016-08-31,null,0,1848.0,0.0,7002.0,202.0,44.0,96.0,0.0,力士洗发乳,1,1.0,0.0,0.0,0.0,力士,LUX,293802,1.0,0.0,0.0,0.0,"""净含量"":""200mL以下""",11.0,0,0.0,"""商品名称"":""力士洗发乳""",1,"""商品毛重"":""240.00g""",5,"""功效"":""柔顺/滋养，补水/保湿""",4.0,"""商品产地"":""合肥""",3,"""适用人群"":""成人""",23.0,"""性别"":""通用""",77.0,10.0,0.0,1.0,5.0,3.0,3.0,21.0,48.0
293880,2732.428572,8368.0,447.0,396.0,370.0,309.0,223.0,UNDEFINED,16.4,False,0.0,34.0,36.0,38.0,50.0,66.0,5479,2321,32840.0,449,358,1,1,1.0,0209FD12C0177C6BA658DCD3A515831E,30010203,"1316,1386,11923",【京东超市】力士(LUX)润发精华素 新活炫亮200ml(护发素),"{""商品名称"":""力士精华素"",""商品编号"":""293880"",""商品毛重"":""230.00g"",""商品产地"":""合肥"",""功效"":""柔顺/滋养，补水/保湿"",""净含量"":""200mL以下"",""性别"":""通用"",""分类"":""护发素/乳"",""适合发质"":""所有发质"",""品牌"":""力士（LUX）""}",1.0,2016/09/06 00:50:36.380,限制:此价格不与套装优惠同时享受,2016-08-31,护发素 乳,0,1848.0,0.0,8208.0,121.0,39.0,99.0,0.0,力士精华素,6,0.0,0.0,1.0,0.0,力士,LUX,293880,1.0,0.0,4.0,0.0,"""净含量"":""200mL以下""",1354.0,0,0.0,"""商品名称"":""力士精华素""",6,"""商品毛重"":""230.00g""",71,"""功效"":""柔顺/滋养，补水/保湿""",268.0,"""商品产地"":""合肥""",43,0,0.0,"""性别"":""通用""",4584.0,21.0,0.0,1.0,6.0,26.0,14.0,0.0,137.0
1530738,23.25,472.0,1142.0,1109.0,1129.0,553.0,449.0,UNDEFINED,16.4,False,0.0,14.0,14.0,16.0,21.0,27.0,5479,2321,32840.0,449,358,1,1,1.0,97D73E82FBFC93CA1B4C11CD7C5D2255,30010203,"1316,1386,11923",【京东超市】力士(LUX)润发精华素 菁油臻润180ml(护发素),"{""商品名称"":""力士精华素"",""商品编号"":""1530738"",""商品毛重"":""220.00g"",""商品产地"":""合肥"",""功效"":""柔顺/滋养，补水/保湿"",""净含量"":""200mL以下"",""性别"":""通用"",""分类"":""护发素/乳"",""适合发质"":""所有发质"",""品牌"":""力士（LUX）""}",1.0,2016/09/06 00:43:23.337,限制:此价格不与套装优惠同时享受,2016-08-31,护发素 乳,0,1848.0,0.0,464.0,5.0,3.0,98.0,0.0,力士精华素,6,0.0,0.0,1.0,0.0,力士,LUX,1530738,1.0,0.0,4.0,0.0,"""净含量"":""200mL以下""",1354.0,0,0.0,"""商品名称"":""力士精华素""",6,"""商品毛重"":""220.00g""",39,"""功效"":""柔顺/滋养，补水/保湿""",268.0,"""商品产地"":""合肥""",43,0,0.0,"""性别"":""通用""",4584.0,21.0,0.0,1.0,2.0,26.0,14.0,0.0,137.0
1530756,142.821429,439.0,366.0,314.0,318.0,355.0,313.0,UNDEFINED,23.6,False,0.0,18.0,23.0,27.0,31.0,41.0,5479,2321,32840.0,449,358,1,1,1.0,95070C9D36F6D8BC22DAD90331417FF2,30010203,"1316,1386,11923",【京东超市】力士(LUX)润发精华素 菁油臻润330ml(护发素),"{""商品名称"":""力士精华素"",""商品编号"":""1530756"",""商品毛重"":""380.00g"",""商品产地"":""合肥"",""功效"":""柔顺/滋养，补水/保湿"",""净含量"":""201-400ml"",""性别"":""通用"",""分类"":""护发素/乳"",""适合发质"":""所有发质"",""品牌"":""力士（LUX）""}",1.0,2016/09/06 00:40:33.477,限制:此价格不与套装优惠同时享受,2016-08-31,护发素 乳,0,1848.0,0.0,426.0,11.0,2.0,97.0,0.0,力士精华素,6,0.0,0.0,1.0,0.0,力士,LUX,1530756,1.0,0.0,4.0,0.0,"""净含量"":""201-400ml""",1192.0,0,0.0,"""商品名称"":""力士精华素""",6,"""商品毛重"":""380.00g""",9,"""功效"":""柔顺/滋养，补水/保湿""",268.0,"""商品产地"":""合肥""",43,0,0.0,"""性别"":""通用""",4584.0,46.0,0.0,1.0,0.0,26.0,14.0,0.0,137.0
293888,564.642857,83642.0,139.0,119.0,135.0,73.0,115.0,UNDEFINED,23.6,False,0.0,35.0,46.0,56.0,65.0,85.0,5479,2321,32840.0,449,358,0,1,1.0,FAEAFA090E0F9B9B0842984BA8799F4B,30010203,"1316,1386,11923",【京东超市】力士(LUX)润发精华素 水润丝滑350ml(护发素),"{""商品名称"":""力士精华素"",""商品编号"":""293888"",""商品毛重"":""410.00g"",""商品产地"":""合肥"",""功效"":""柔顺/滋养，补水/保湿"",""净含量"":""201-400ml"",""性别"":""通用"",""分类"":""护发素/乳"",""适合发质"":""所有发质"",""品牌"":""力士（LUX）""}",1.0,2016/09/06 00:51:46.743,限制:此价格不与套装优惠同时享受,2016-08-31,护发素 乳,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,力士精华素,6,0.0,0.0,1.0,0.0,力士,LUX,293888,1.0,0.0,4.0,0.0,"""净含量"":""201-400ml""",1192.0,0,0.0,"""商品名称"":""力士精华素""",6,"""商品毛重"":""410.00g""",3,"""功效"":""柔顺/滋养，补水/保湿""",268.0,"""商品产地"":""合肥""",43,0,0.0,"""性别"":""通用""",4584.0,46.0,0.0,1.0,1.0,26.0,14.0,0.0,137.0
293889,520.428572,52965.0,350.0,337.0,400.0,234.0,243.0,UNDEFINED,23.6,False,0.0,13.0,14.0,15.0,17.0,29.0,5479,2321,32840.0,449,358,0,1,1.0,FD24925611DA6178560DE7A6859D01C4,30010203,"1316,1386,11923",【京东超市】力士(LUX)润发精华素 新活炫亮350ml(新老品随机发放)(护发素),"{""商品名称"":""力士精华素"",""商品编号"":""293889"",""商品毛重"":""400.00g"",""商品产地"":""合肥"",""功效"":""柔顺/滋养，补水/保湿"",""净含量"":""201-400ml"",""性别"":""通用"",""分类"":""护发素/乳"",""适合发质"":""所有发质"",""品牌"":""力士（LUX）""}",1.0,2016/09/06 00:54:25.297,限制:此价格不与套装优惠同时享受,2016-08-31,护发素 乳,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,力士精华素,6,0.0,0.0,1.0,0.0,力士,LUX,293889,1.0,0.0,4.0,0.0,"""净含量"":""201-400ml""",1192.0,0,0.0,"""商品名称"":""力士精华素""",6,"""商品毛重"":""400.00g""",209,"""功效"":""柔顺/滋养，补水/保湿""",268.0,"""商品产地"":""合肥""",43,0,0.0,"""性别"":""通用""",4584.0,46.0,0.0,1.0,1.0,26.0,14.0,0.0,137.0
293892,529.214286,103228.0,56.0,45.0,47.0,47.0,63.0,UNDEFINED,21.5,False,0.0,31.0,39.0,46.0,53.0,77.0,423,151,2022.0,449,91,1,1,1.0,0E6C00753191D7F3DD4D4737FDB60A55,30010203,"1316,1386,11923",【京东超市】力士(LUX)精华发膜 水润丝滑200ml,"{""商品名称"":""力士发膜"",""商品编号"":""293892"",""商品毛重"":""280.00g"",""商品产地"":""合肥"",""功效"":""柔顺/滋养，补水/保湿"",""净含量"":""200mL以下"",""性别"":""通用"",""分类"":""发膜"",""适合发质"":""干性，所有发质"",""品牌"":""力士（LUX）""}",1.0,2016/09/06 00:53:06.770,限制:此价格不与套装优惠同时享受,2016-08-31,发膜,0,1848.0,0.0,100891.0,1648.0,689.0,97.0,0.0,力士发膜,3,3.0,0.0,0.0,0.0,力士,LUX,293892,3.0,1.0,0.0,0.0,"""净含量"":""200mL以下""",453.0,0,0.0,"""商品名称"":""力士发膜""",3,"""商品毛重"":""280.00g""",21,"""功效"":""柔顺/滋养，补水/保湿""",60.0,"""商品产地"":""合肥""",6,0,0.0,"""性别"":""通用""",2119.0,32.0,0.0,3.0,5.0,10.0,6.0,0.0,107.0
